environment.name, environment.size, iteration, instances, primary, secondary
dist, 1, 1, 1, 5, 4
dist, 1, 2, 1, 12, 21
dist, 1, 3, 2, 40, 62
dist, 1, 4, 6, 96, 202
dist, 1, 5, 10, 134, 228
dist, 1, 6, 28, 462, 836
dist, 1, 7, 85, 1425, 2783
dist, 1, 8, 246, 4192, 7885
dist, 16, 1, 1, 5, 4
dist, 16, 2, 1, 12, 21
dist, 16, 3, 2, 40, 62
dist, 16, 4, 6, 96, 202
dist, 16, 5, 10, 134, 228
dist, 16, 6, 28, 462, 836
dist, 16, 7, 85, 1425, 2783
dist, 16, 8, 246, 4192, 7885
dist, 2, 1, 1, 5, 4
dist, 2, 2, 1, 12, 21
dist, 2, 3, 2, 40, 62
dist, 2, 4, 6, 96, 202
dist, 2, 5, 10, 134, 228
dist, 2, 6, 28, 462, 836
dist, 2, 7, 85, 1425, 2783
dist, 2, 8, 246, 4192, 7885
dist, 4, 1, 1, 5, 4
dist, 4, 2, 1, 12, 21
dist, 4, 3, 2, 40, 62
dist, 4, 4, 6, 96, 202
dist, 4, 5, 10, 134, 228
dist, 4, 6, 28, 462, 836
dist, 4, 7, 85, 1425, 2783
dist, 4, 8, 246, 4192, 7885
dist, 8, 1, 1, 5, 4
dist, 8, 2, 1, 12, 21
dist, 8, 3, 2, 40, 62
dist, 8, 4, 6, 96, 202
dist, 8, 5, 10, 134, 228
dist, 8, 6, 28, 462, 836
dist, 8, 7, 85, 1425, 2783
dist, 8, 8, 246, 4192, 7885
shared, 1, 1, 1, 5, 4
shared, 1, 2, 1, 12, 21
shared, 1, 3, 2, 40, 62
shared, 1, 4, 6, 96, 202
shared, 1, 5, 7, 134, 205
shared, 1, 6, 11, 462, 661
shared, 1, 7, 21, 1425, 2162
shared, 1, 8, 38, 4192, 5843
shared, 2, 1, 1, 5, 4
shared, 2, 2, 1, 12, 21
shared, 2, 3, 2, 40, 62
shared, 2, 4, 6, 96, 202
shared, 2, 5, 7, 134, 205
shared, 2, 6, 11, 462, 661
shared, 2, 7, 21, 1425, 2162
shared, 2, 8, 38, 4192, 5843
shared, 4, 1, 1, 5, 4
shared, 4, 2, 1, 12, 21
shared, 4, 3, 2, 40, 62
shared, 4, 4, 6, 96, 202
shared, 4, 5, 7, 134, 205
shared, 4, 6, 11, 462, 661
shared, 4, 7, 21, 1425, 2162
shared, 4, 8, 38, 4192, 5843
shared, 8, 1, 1, 5, 4
shared, 8, 2, 1, 12, 21
shared, 8, 3, 2, 40, 62
shared, 8, 4, 6, 96, 202
shared, 8, 5, 7, 134, 205
shared, 8, 6, 11, 462, 661
shared, 8, 7, 21, 1425, 2162
shared, 8, 8, 38, 4192, 5843
